排名,准确率,模型数,模型组合,权重
1,0.9056,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2223, +0.2544, +0.1610, +0.1189, +0.0655, +0.0592, +0.1188"
2,0.9053,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2747, +0.2606, +0.2014, +0.0823, +0.0598, +0.1212"
3,0.9050,4,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + 稽机88.4032,"+0.2911, +0.2784, +0.2266, +0.2039"
4,0.9049,5,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.3935, +0.2639, +0.1171, +0.0591, +0.1664"
5,0.9049,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032,"+0.2212, +0.2543, +0.1647, +0.1190, +0.0753, +0.1655"
6,0.9048,5,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + 稽机87.6998 + 稽机88.4032,"+0.2888, +0.2761, +0.2162, +0.0825, +0.1364"
7,0.9047,5,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + 稽机88.4032,"+0.2300, +0.2687, +0.1765, +0.1291, +0.1957"
8,0.9047,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + 稽机87.6998 + 稽机88.4032,"+0.2304, +0.2663, +0.1693, +0.1267, +0.0773, +0.1301"
9,0.9046,4,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032,"+0.3898, +0.2715, +0.1257, +0.2130"
10,0.9046,5,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + 稽机87.6998,"+0.2487, +0.2867, +0.1675, +0.1279, +0.1693"
