排名,准确率,模型数,模型组合,权重
1,0.9056,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2223, +0.2544, +0.1610, +0.1189, +0.0655, +0.0592, +0.1188"
2,0.9055,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2226, +0.2545, +0.0131, +0.1613, +0.1194, +0.0463, +0.0617, +0.1212"
3,0.9054,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + 稽机88.4032,"+0.2228, +0.2569, +0.0663, +0.1657, +0.1205, +0.1678"
4,0.9054,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + 稽机88.4032,"+0.2043, +0.2404, +0.0567, +0.0650, +0.1673, +0.1203, +0.1460"
5,0.9054,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data147749_acc88.5761_loss0.0834_2026_05_03_07_59_17 + 稽机88.4032,"+0.2038, +0.2400, +0.0535, +0.0671, +0.1666, +0.1204, -0.0008, +0.1479"
6,0.9053,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2747, +0.2606, +0.2014, +0.0823, +0.0598, +0.1212"
7,0.9053,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032,"+0.2029, +0.2385, +0.0572, +0.0185, +0.1661, +0.1171, +0.0565, +0.1433"
8,0.9053,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data147749_acc88.5761_loss0.0834_2026_05_03_07_59_17 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2235, +0.2540, +0.1609, +0.1170, +0.0095, +0.0625, +0.0660, +0.1065"
9,0.9053,9,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data147749_acc88.5761_loss0.0834_2026_05_03_07_59_17 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机87.6998 + 稽机88.4032,"+0.2236, +0.2544, +0.0094, +0.1614, +0.1178, +0.0100, +0.0482, +0.0670, +0.1083"
10,0.9053,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + 稽机88.4032,"+0.2199, +0.2519, +0.0200, +0.1653, +0.1204, +0.0516, +0.1709"
